384	58	84
351	4	12
277	27	32
441	172	33
127	117	34
129	86	81
152	70	64
157	14	61
30	33	68
145	12	30
16	111	30
452	98	28
55	83	89
337	136	8
29	105	23
345	58	86
53	52	93
458	148	34
114	13	33
204	142	49
150	57	50
488	22	82
14	140	38
436	92	41
370	106	62
91	157	44
483	101	98
410	47	100
109	72	50
339	38	21
405	60	20
463	13	97
395	130	25
11	66	39
149	96	66
92	72	80
454	92	71
47	154	17
462	138	87
275	150	93
383	59	10
376	40	92
348	168	52
112	167	96
125	89	16
499	155	35
413	109	45
115	134	96
404	166	13
188	152	7
251	165	49
293	171	66
143	138	65
7	94	31
492	10	58
446	127	50
393	127	10
450	112	97
321	147	60
249	36	37
220	87	25
353	134	81
425	141	60
175	28	8
441	44	98
168	131	50
351	8	60
474	171	94
245	173	98
447	6	67
467	82	38
183	151	39
377	50	2
406	48	85
476	144	30
403	170	34
124	70	13
321	18	64
336	166	72
381	108	15
78	145	83
4	87	2
161	118	68
140	39	62
178	87	13
35	101	2
382	85	66
40	169	55
83	45	4
431	161	25
34	55	72
394	64	70
244	57	70
233	165	32
369	51	52
344	159	89
349	53	44
388	15	31
278	22	82
160	89	22
433	110	91
179	107	92
85	79	14
157	147	47
64	22	19
363	121	12
386	156	16
239	46	56
79	113	9
451	51	43
28	112	18
64	134	40
185	168	36
307	38	48
284	131	67
255	30	8
18	149	14
408	108	52
436	100	66
222	81	4
453	34	20
403	165	52
496	12	89
395	125	75
382	135	11
13	161	77
10	16	68
40	136	48
68	151	63
303	133	14
198	72	4
128	6	69
272	92	32
46	14	64
207	157	37
93	25	82
431	107	86
378	22	95
274	101	30
265	144	7
238	71	90
94	69	84
205	111	16
480	110	77
263	85	78
276	112	86
161	163	60
217	172	8
23	137	23
58	27	73
488	18	4
439	80	55
96	31	18
166	11	23
109	93	20
63	135	71
228	81	53
88	105	45
69	130	11
88	167	1
11	95	96
476	103	61
41	110	65
262	75	64
119	143	21
108	83	82
198	81	54
343	130	27
495	55	80
144	44	8
312	31	76
319	60	65
185	135	99
236	48	99
34	43	47
296	151	9
333	114	13
435	171	53
401	139	78
302	119	22
100	52	58
350	146	83
285	18	3
18	75	15
397	81	58
320	126	87
252	169	21
250	50	22
259	7	64
486	73	61
460	35	9
60	109	45
291	123	12
181	106	69
223	95	47
399	120	23
95	77	59
12	168	31
467	99	10
1	170	53
204	146	31
484	61	76
192	128	30
182	26	16
440	96	56
224	77	15
130	136	37
89	34	96
221	51	48
254	175	51
253	20	73
62	60	39
237	89	69
494	66	21
84	37	3
227	169	71
478	32	74
449	11	78
212	75	77
61	171	47
47	54	53
303	16	54
390	84	76
36	25	24
338	152	76
494	90	78
48	42	87
295	103	29
429	46	54
313	158	33
75	136	19
434	128	26
397	125	44
465	157	9
152	138	29
335	37	68
71	117	54
480	38	60
93	96	38
309	3	59
448	50	89
404	39	62
318	167	44
162	97	14
308	97	99
197	36	27
98	2	63
315	5	95
232	41	85
428	23	83
411	97	31
337	141	43
57	128	55
428	62	79
52	107	32
111	64	65
316	11	34
105	98	68
306	126	79
417	26	97
75	20	31
21	20	48
159	39	39
1	134	62
71	32	88
497	129	61
366	39	13
222	113	52
123	140	44
233	39	46
151	31	20
203	160	59
365	15	89
257	59	75
80	3	93
114	124	69
251	99	6
195	21	94
189	116	16
90	145	17
248	47	72
19	88	21
372	107	85
280	164	61
54	119	93
121	116	11
146	114	20
201	45	70
326	65	6
443	68	47
400	3	35
232	82	87
391	17	100
446	162	78
148	122	64
136	13	75
392	154	83
311	120	94
313	114	43
258	100	71
325	60	99
367	116	65
8	104	89
360	114	49
323	141	20
153	154	33
336	133	63
498	93	18
459	61	4
28	121	80
242	34	58
292	93	29
216	8	35
463	173	86
82	17	67
377	163	68
419	165	24
328	2	2
267	84	68
287	10	26
491	26	36
322	15	84
298	61	57
177	10	51
338	48	37
22	132	93
50	76	76
155	54	40
422	58	81
246	62	83
72	31	13
352	95	8
462	159	97
66	70	41
169	38	7
115	143	26
358	92	86
461	118	69
445	11	86
362	63	40
50	169	60
283	131	28
228	145	43
144	25	92
65	93	33
26	64	20
282	91	3
184	142	10
414	41	32
76	100	55
421	14	86
84	39	69
358	95	67
134	45	22
195	142	86
26	62	79
131	75	17
116	109	90
206	43	90
72	62	72
330	124	53
73	127	46
407	2	75
81	146	22
141	7	83
17	157	19
29	140	79
342	77	32
142	55	10
31	30	39
165	63	29
229	98	30
268	69	90
230	65	6
37	173	89
381	143	6
317	128	6
301	16	90
490	80	83
347	47	80
162	100	35
142	26	36
333	50	30
288	164	24
346	91	76
154	172	42
219	115	88
105	119	59
455	7	42
479	139	11
306	70	51
39	122	54
256	80	73
27	5	51
33	108	51
363	4	47
445	52	35
332	89	19
375	123	49
457	28	27
77	142	61
176	91	81
409	95	10
394	153	32
500	71	3
500	90	56
3	150	69
39	79	2
102	7	87
473	157	34
478	82	21
44	163	32
107	76	75
37	158	44
271	49	10
186	138	42
357	122	38
48	160	4
60	148	41
20	75	80
32	123	33
147	104	48
267	135	97
424	84	16
385	174	25
430	68	96
86	99	78
268	170	1
290	151	61
408	140	67
298	44	75
158	146	59
291	174	82
15	29	91
386	102	57
117	29	52
442	139	76
247	42	26
200	35	15
474	37	85
320	56	42
55	78	36
486	169	41
423	30	58
292	72	95
383	115	79
66	73	85
466	41	94
324	175	38
246	36	95
350	11	99
314	90	67
184	21	27
22	65	95
314	138	75
319	9	52
82	164	21
364	59	92
471	120	39
278	93	64
78	38	59
12	74	27
42	117	19
330	24	90
479	54	23
30	116	100
5	138	2
188	153	74
173	56	94
201	92	8
187	84	88
148	164	71
163	92	1
493	30	50
131	51	66
414	23	28
62	88	63
261	42	78
13	34	52
472	108	1
475	76	45
24	55	43
118	4	43
288	85	94
497	7	43
281	61	95
126	34	95
127	162	65
341	156	99
247	98	65
120	153	64
135	96	74
364	87	62
172	40	91
97	47	88
25	8	14
379	109	8
484	73	92
56	38	70
264	71	27
347	100	82
52	113	87
449	166	46
87	104	24
85	45	42
67	101	20
68	14	48
14	159	2
73	6	2
464	63	36
491	114	42
214	53	3
343	8	42
331	130	13
289	48	37
287	127	55
231	130	27
192	12	41
456	53	17
289	72	26
384	78	23
180	145	29
324	40	73
41	43	14
354	128	57
215	128	5
98	159	28
427	2	22
487	164	9
373	32	97
243	54	12
285	21	18
426	147	21
106	132	35
345	50	59
171	154	44
341	1	65
238	47	37
334	167	36
217	18	34
212	57	79
209	134	20
53	130	75
138	56	98
136	131	86
262	119	30
117	12	89
322	61	82
308	63	24
439	143	15
398	160	95
183	161	84
54	40	56
168	148	68
2	102	77
423	9	93
270	15	62
498	135	78
378	17	3
94	77	41
401	134	55
304	125	41
104	91	81
276	1	3
311	36	3
305	48	14
473	119	67
46	107	69
70	156	98
133	45	1
158	37	84
103	33	63
409	137	6
199	12	47
241	126	85
472	147	6
270	145	88
257	88	35
434	17	24
135	73	73
440	121	89
402	67	56
459	163	68
160	108	91
300	150	22
323	18	7
326	149	71
471	117	20
387	1	18
51	28	11
202	25	42
205	95	66
454	150	57
103	94	90
203	115	47
95	57	5
170	154	13
477	51	13
229	87	97
149	129	79
9	90	83
334	106	47
209	11	26
121	79	5
215	46	62
490	160	83
99	19	40
442	67	57
59	127	85
335	132	39
371	112	93
327	89	54
359	32	7
483	4	5
190	69	24
346	68	14
372	137	87
189	49	45
9	131	51
432	161	49
374	15	80
237	136	15
240	49	15
254	125	15
49	68	66
275	57	46
134	81	88
5	41	94
107	27	99
83	140	92
169	137	85
57	129	23
106	129	46
16	158	94
296	110	49
171	3	35
112	170	70
392	6	51
273	105	52
104	155	81
154	173	53
194	99	29
458	119	81
235	73	43
147	133	91
227	123	75
340	17	45
20	98	39
302	161	91
32	14	28
325	19	77
457	6	18
56	80	45
101	161	16
277	164	79
15	8	32
250	147	55
352	153	56
59	80	17
390	13	46
340	127	70
258	10	82
132	33	77
400	165	70
368	101	53
344	108	100
221	120	57
43	124	63
211	91	54
240	152	77
223	35	90
482	22	98
36	91	88
216	35	57
380	37	75
21	19	18
327	172	10
475	115	48
263	83	56
186	123	53
174	67	92
361	168	95
271	16	51
190	115	41
388	105	66
213	27	48
74	46	99
299	165	1
218	83	44
260	33	66
305	49	25
455	43	69
23	20	60
354	93	40
427	122	17
8	94	11
225	13	43
329	52	71
81	84	72
369	76	8
310	97	88
438	141	90
19	85	64
2	23	33
295	175	93
140	24	8
286	107	7
108	64	38
451	83	74
208	50	98
87	129	39
213	150	13
297	114	98
286	110	79
130	167	83
371	19	42
312	77	60
259	28	36
113	56	40
290	158	45
110	125	54
399	77	34
301	146	28
429	152	82
443	69	36
241	33	16
143	154	40
482	156	45
468	87	12
101	58	11
163	29	73
164	54	34
424	141	31
407	79	73
125	139	55
448	99	17
393	162	62
35	2	80
208	29	65
373	88	38
456	169	17
124	74	39
210	163	49
137	106	81
24	139	71
396	155	49
253	124	65
243	25	25
110	53	77
79	35	40
145	27	49
470	44	33
418	60	12
231	102	48
248	118	7
468	19	22
164	111	11
398	59	28
111	103	16
438	75	63
234	153	68
391	30	61
466	18	14
374	159	58
220	63	58
58	81	67
412	109	73
437	70	26
172	174	19
102	172	91
389	9	9
128	123	50
419	97	79
402	17	71
450	168	96
356	67	74
187	88	28
316	36	96
416	166	87
175	59	12
410	94	58
499	73	54
180	49	77
200	65	98
299	71	6
421	102	19
239	76	97
310	26	4
412	99	40
283	173	12
444	15	50
339	23	70
191	57	38
123	148	89
396	142	92
294	162	67
411	124	38
447	35	64
469	142	46
225	25	56
89	72	9
167	118	25
67	121	35
226	19	27
165	31	91
193	152	99
318	104	11
196	62	54
493	166	50
264	86	47
43	66	46
27	76	72
415	113	88
49	21	56
460	52	60
477	144	38
17	66	29
